sep=,,
trader_no_reputation_fox_node0,"У тебя недостаточно репутации, чтобы торговаться с лисами!",Your reputation is not high enough to trade with the Forest Brotherhood!
072_stone_dam_transition1_1,Ouch. Looks like I need something big -- and explodey -- to blast this apart.,Ouch. Looks like I need something big -- and explodey -- to blast this apart.
072_finish_node0,"Skubs the Junk Dealer: So... it looks like you freed Skrask the Unreliable. As the Leader of all the Rats, I salute you. As an undercover junk dealer, I am angry. He hasn't brought me back any of his loot, or any of the stuff he borrowed from me. In fact, he said you stole it from him.","Skubs the Junk Dealer: So... it looks like you freed Skrask the Unreliable. As the Leader of all the Rats, I salute you. As an undercover junk dealer, I am angry. He hasn't brought me back any of his loot, or any of the stuff he borrowed from me. In fact, he said you stole it from him."
072_finish_node1,"Hrmph. Well, that's uh... obviously not true. Okay, fine. You have completed [x] of 3 tasks for the Rats. This I decree as undisputed leader of the Vermafia.","Hrmph. Well, that's uh... obviously not true. Okay, fine. You have completed [x] of 3 tasks for the Rats. This I decree as undisputed leader of the Vermafia."
072_finish_transition0_1,He also said he was he Leader of the Rats and that you were just jealous. So maybe that's true too?,He also said he was he Leader of the Rats and that you were just jealous. So maybe that's true too?
072_finish_transition1_1,"Okay, then, boss. Got anything else for me?","Okay, then, boss. Got anything else for me?"
071_start_node0,"Halt, intruder! Hmm... a human, is it? HISS!! What is your business here, at the Rat Nest?","Halt, intruder! Hmm... a human, is it? HISS!! What is your business here, at the Rat Nest?"
071_start_node1,"Eh? Well, I... Er, listen, I'll let you in on a little secret. I AM the boss, I'm just doing some checking up on all of the other rats. Making sure they're not stealing my stuff or making deals with the enemy. So yeah. That's me, the boss. Whadda you got?","Eh? Well, I... Er, listen, I'll let you in on a little secret. I AM the boss, I'm just doing some checking up on all of the other rats. Making sure they're not stealing my stuff or making deals with the enemy. So yeah. That's me, the boss. Whadda you got?"
071_start_node2,"WHOA! You killed the leader of-- Uh, I mean, big deal. He wasn't really that tough or smart or noble or anything. Anyone could do it.","WHOA! You killed the leader of-- Uh, I mean, big deal. He wasn't really that tough or smart or noble or anything. Anyone could do it."
071_start_node3,"HUH? What do you know about the Double Orbiter? Do you know that it's -- Uh, ahem, I mean... that all depends. You're going to have to prove to us your loyalty if you want help from the Rats. We have three quests that need to be undertaken. They're super easy and not dangerous. I'd do them myself but I have to guard this post. Uh, by choice. Because I'm the leader.","HUH? What do you know about the Double Orbiter? Do you know that it's -- Uh, ahem, I mean... that all depends. You're going to have to prove to us your loyalty if you want help from the Rats. We have three quests that need to be undertaken. They're super easy and not dangerous. I'd do them myself but I have to guard this post. Uh, by choice. Because I'm the leader."
071_start_node4,"So eager! Almost like you've got some kind of trick up your sleeve. Well, anyway...","So eager! Almost like you've got some kind of trick up your sleeve. Well, anyway..."
071_start_node5,You know what's in it for you. The final destruction of the Foxes and the eternal gratitude and loyalty of the Rats. That there is worth its weight in gold.,You know what's in it for you. The final destruction of the Foxes and the eternal gratitude and loyalty of the Rats. That there is worth its weight in gold.
071_start_node6,"Okay, so first thing you have to do is come in and find Skubs the Junk Dealer. He's got a uh... SUPER EASY and NOT AT ALL DANGEROUS mission for you to do.","Okay, so first thing you have to do is come in and find Skubs the Junk Dealer. He's got a uh... SUPER EASY and NOT AT ALL DANGEROUS mission for you to do."
071_start_node7,How dare you not trust me! You've hurt my feelings. Come back when you can treat me with some basic human (and rat) kindness.,How dare you not trust me! You've hurt my feelings. Come back when you can treat me with some basic human (and rat) kindness.
071_start_transition0_1,"Ahem. What's it to you, sentry? I don't talk with underlings; I want the Big Boss. He and I have big things to discuss.","Ahem. What's it to you, sentry? I don't talk with underlings; I want the Big Boss. He and I have big things to discuss."
071_start_transition0_2,Uhhh...NOTHING! I just remembered I have something to do somewhere else. With somebody else!! BYE!,Uhhh...NOTHING! I just remembered I have something to do somewhere else. With somebody else!! BYE!
071_start_transition1_1,"All right, seems plausible. Here's the thing, Big Boss. I know you have a problem with the Foxes. I had a problem with them too, until I KILLED their leader! *show Rat the amulet*","All right, seems plausible. Here's the thing, Big Boss. I know you have a problem with the Foxes. I had a problem with them too, until I KILLED their leader! *show Rat the amulet*"
071_start_transition1_2,A likely story. Get me the real leader.,A likely story. Get me the real leader.
071_start_transition2_1,"Well, anyone didn't do it. I did. And I want to make a deal. We can wipe out the Foxes together, if we can power up your weapon","Well, anyone didn't do it. I did. And I want to make a deal. We can wipe out the Foxes together, if we can power up your weapon"
071_start_transition3_1,"All right, what do you got?","All right, what do you got?"
071_start_transition3_2,(eye him suspiciously) I don't know. What's in it for me?,(eye him suspiciously) I don't know. What's in it for me?
071_start_transition3_3,"Never mind, I'll take that amulet back! I gotta go, BYE!!","Never mind, I'll take that amulet back! I gotta go, BYE!!"
071_start_transition4_1,[continue],[continue]
071_start_transition5_1,[continue],[continue]
071_start_transition6_1,(narrow eyes and curl lip contemptuously) Fine.,(narrow eyes and curl lip contemptuously) Fine.
071_start_transition6_2,NEVER MIND I GOTTA GO!,NEVER MIND I GOTTA GO!
071_start_transition7_1,Uh...okay.,Uh...okay.
071_finish_node0,"You there. I hear you've been doing a lot of missions around here for... uh, my underlings.","You there. I hear you've been doing a lot of missions around here for... uh, my underlings."
071_finish_node1,"Yeah, you're right! Looks like you have a keen eye, to be able to pick out my leadership qualities while I'm working undercover as a bum just sitting next to a chest.","Yeah, you're right! Looks like you have a keen eye, to be able to pick out my leadership qualities while I'm working undercover as a bum just sitting next to a chest."
071_finish_node2,"Yeah, I heard that you've been really helpful, and earned our trust. Sure, human, take a look.","Yeah, I heard that you've been really helpful, and earned our trust. Sure, human, take a look."
071_finish_node3,"[there is nothing inside the chest except a small note that says ""Fooled you"".","[there is nothing inside the chest except a small note that says ""Fooled you""."
071_finish_node4,"Ah-ha! Yeah, we rats aren't so great at engineering anything, but we're terrific at lying. We've had those foxes wrapped around our fingers from day one. What a bunch of chumps!","Ah-ha! Yeah, we rats aren't so great at engineering anything, but we're terrific at lying. We've had those foxes wrapped around our fingers from day one. What a bunch of chumps!"
